"recall","precision","tp","fp","fn"
0.989583333333333,0.625,95,57,0.999999999999995
0.989583333333333,0.62091506,95,58,0.999999999999995
0.989583333333333,0.6168831,95,59,0.999999999999995
0.989583333333333,0.61290324,95,60,0.999999999999995
0.989583333333333,0.60897434,95,61,0.999999999999995
0.989583333333333,0.60509557,95,62,0.999999999999995
0.989583333333333,0.60126585,95,63,0.999999999999995
0.989583333333333,0.5974843,95,64,0.999999999999995
0.989583333333333,0.59375,95,65,0.999999999999995
0.989583333333333,0.59006214,95,66,0.999999999999995
0.989583333333333,0.58641976,95,67,0.999999999999995
0.989583333333333,0.5828221,95,68,0.999999999999995
0.989583333333333,0.5792683,95,69,0.999999999999995
0.989583333333333,0.57575756,95,70,0.999999999999995
0.989583333333333,0.57228917,95,71,0.999999999999995
0.989583333333333,0.56886226,95,72,0.999999999999995
0.989583333333333,0.5654762,95,73,0.999999999999995
0.989583333333333,0.56213015,95,74,0.999999999999995
0.989583333333333,0.5588235,95,75,0.999999999999995
0.989583333333333,0.5555556,95,76,0.999999999999995
0.989583333333333,0.5523256,95,77,0.999999999999995
0.989583333333333,0.54913294,95,78,0.999999999999995
0.989583333333333,0.545977,95,79,0.999999999999995
0.989583333333333,0.54285717,95,80,0.999999999999995
0.989583333333333,0.53977275,95,81,0.999999999999995
0.989583333333333,0.53672314,95,82,0.999999999999995
